,Company,Total Employees,Layoff Status,No. of Employees,Percentage of Employees
0,99 Cents Only Stores,1043,Closure Permanent,1043,100%
1,"A.C. Vroman, Inc.",12,Closure Permanent,12,100%
2,ABM General Services,25,Layoff Permanent,25,100%
3,ACRT Pacific,58,Layoff Permanent,58,100%
4,ADT Solar,58,Closure Permanent,58,100%
5,AHMC San Gabriel Valley Medical Center,94,Layoff Permanent,94,100%
6,AMP Printing,35,Closure Permanent,35,100%
7,AMQ Solutions,37,Closure Permanent,37,100%
8,ATI Restoration,18,Closure Permanent,18,100%
9,AVMAC,153,Layoff Permanent,153,100%
10,Abbott,12,Closure Permanent,12,100%
11,Accenture,327,Closure Permanent,240,73%
12,Accenture,327,Layoff Permanent,87,27%
13,Accesso,111,Layoff Permanent,111,100%
14,Ace Hotel Group,169,Layoff Permanent,169,100%
15,Active Wellness,80,Layoff Permanent,80,100%
16,Activision Blizzard,916,Layoff Permanent,916,100%
17,Acutus Medical,147,Layoff Permanent,147,100%
18,Adidas America,28,Closure Permanent,28,100%
19,Adventist Health,53,Layoff Permanent,53,100%
20,Age of Learning,94,Layoff Permanent,94,100%
21,Agilent Technologies,36,Layoff Permanent,36,100%
22,Airtable,99,Layoff Permanent,99,100%
23,Ajinomoto Foods North America,538,Layoff Temporary,538,100%
24,Alchemee,12,Closure Permanent,12,100%
25,Allakos,59,Layoff Permanent,59,100%
26,Allen Brothers West Coast,53,Closure Permanent,53,100%
27,Alsco,107,Closure Permanent,107,100%
28,Alstom Mass Transit Corp.,41,Closure Permanent,41,100%
29,Alto Operations California,34,Closure Permanent,34,100%
30,Alvarado Hospital,814,Closure Permanent,6,1%
31,Alvarado Hospital,814,Layoff Permanent,808,99%
32,Amazon,284,Closure Permanent,114,40%
33,Amazon,284,Layoff Permanent,170,60%
34,Amentum at NAS,73,Layoff Permanent,73,100%
35,Amgen,4,Closure Permanent,4,100%
36,Amware Fulfillment,84,Closure Permanent,84,100%
37,Amyris,328,Layoff Permanent,328,100%
38,Analog Devices,111,Layoff Permanent,111,100%
39,Anaplan,119,Layoff Permanent,119,100%
40,Anchor Brewing Company,55,Closure Permanent,55,100%
41,AppFolio,127,Layoff Permanent,127,100%
42,Apple,735,Layoff Permanent,735,100%
43,Arden Hills Country Club,33,Closure Permanent,33,100%
44,Astra Space Operations,58,Layoff Permanent,58,100%
45,Atara Biotherapeutics,117,Layoff Permanent,117,100%
46,Aura Management,324,Closure Permanent,312,96%
47,Aura Management,324,Layoff Permanent,12,4%
48,Aurora Solar Inc.,115,Layoff Permanent,115,100%
49,B. Braun Medical Inc.,83,Layoff Permanent,83,100%
50,BILL Operations,468,Layoff Permanent,468,100%
51,BMO Bank,228,Layoff Permanent,228,100%
52,Balfour Beatty US Civils,222,Layoff Permanent,222,100%
53,Bamboo Group Operations,40,Closure Permanent,40,100%
54,Bandier West Hollywood,7,Layoff Permanent,7,100%
55,Bank of the West,248,Layoff Permanent,248,100%
56,Baxalta US,5,Layoff Permanent,5,100%
57,Bay Area PL Services,87,Layoff Permanent,87,100%
58,Beauty & Essex,82,Closure Permanent,82,100%
59,Bechtel Infrastructure & Power Corporation,84,Closure Permanent,84,100%
60,"Becton, Dickinson and Company",27,Layoff Permanent,27,100%
61,"Berry Global, Inc.",160,Closure Permanent,160,100%
62,Beyond Hello CA,2,Closure Permanent,2,100%
63,Bionano Genomics,64,Layoff Permanent,64,100%
64,BlackLine Systems,116,Layoff Permanent,116,100%
65,"Block, Inc.",51,Layoff Permanent,51,100%
66,Bloom Energy Corporation,180,Layoff Permanent,180,100%
67,Blowfish,20,Closure Permanent,20,100%
68,Blue Shield of California,165,Layoff Permanent,165,100%
69,Boardriders Wholesale,698,Layoff Permanent,698,100%
70,Boeing Company,3,Layoff Permanent,3,100%
71,Boston Scientific Corporation,52,Closure Permanent,52,100%
72,Bridge Staffing,115,Closure Permanent,115,100%
73,BrightDrop,6,Layoff Permanent,6,100%
74,Bristol Myers Squibb,252,Layoff Permanent,252,100%
75,Broadcom,1267,Layoff Permanent,1267,100%
76,Brookfield Properties,113,Layoff Permanent,113,100%
77,Burke Williams,110,Closure Temporary,110,100%
78,BuzzFeed Media Enterprises,59,Layoff Permanent,59,100%
79,C&E GP Specialists,16,Closure Permanent,16,100%
80,CSL Vifor,85,Layoff Permanent,85,100%
81,Cacique Foods,225,Closure Permanent,225,100%
82,California Institute of Technology,521,Layoff Permanent,521,100%
83,California Resources Corporation,61,Layoff Permanent,61,100%
84,CamelBak Products,43,Layoff Permanent,43,100%
85,Capital One Financial,49,Closure Permanent,49,100%
86,Carbon Health,56,Layoff Permanent,56,100%
87,"Carbon, Inc.",60,Layoff Permanent,60,100%
88,Cardinal Glass Industries,29,Closure Permanent,29,100%
89,"Catalent, Inc.",90,Closure Permanent,90,100%
90,Centerra Group,402,Layoff Permanent,402,100%
91,Central Admixture Pharmacy Services,99,Closure Permanent,99,100%
92,Cepheid,92,Layoff Permanent,92,100%
93,Certified Freight Logistics,154,Closure Permanent,154,100%
94,ChargePoint,195,Layoff Permanent,195,100%
95,Charles River Laboratories,55,Closure Permanent,55,100%
96,Charles Schwab & Co.,155,Layoff Permanent,155,100%
97,Chart Inc.,8,Closure Permanent,8,100%
98,Checkr,260,Layoff Permanent,260,100%
99,Chick-fil-A,82,Closure Temporary,82,100%
100,Circle C Ranch,14,Layoff Permanent,14,100%
101,Cisco Systems,1081,Layoff Permanent,1081,100%
102,City National Bank,127,Layoff Permanent,127,100%
103,Clari,139,Layoff Permanent,139,100%
104,Codexis,59,Layoff Permanent,59,100%
105,Coherent Corp.,61,Layoff Permanent,61,100%
106,Cole Haan,9,Layoff Permanent,9,100%
107,Collins Pine Company,62,Layoff Temporary,62,100%
108,Command Security Service,33,Layoff Permanent,33,100%
109,Company 3 Method,19,Layoff Temporary,19,100%
110,Comprehensive Autism Center,9,Closure Permanent,9,100%
111,Connect Homes,75,Closure Permanent,75,100%
112,Container Connection,64,Layoff Permanent,64,100%
113,ContextLogic Inc.,152,Layoff Permanent,152,100%
114,Coronado Brewing Company,27,Closure Permanent,27,100%
115,Corteva Agriscience,37,Layoff Permanent,37,100%
116,Cotton On La Mirada Distribution Center,88,Closure Permanent,88,100%
117,Country Club Mortgage,28,Closure Permanent,28,100%
118,Covanta Long Beach Renewable Energy Corp.,39,Closure Permanent,39,100%
119,Covanta Projects,10,Closure Permanent,10,100%
120,Covenant Living Communities & Services,168,Closure Permanent,168,100%
121,Cracker Barrel,151,Closure Permanent,151,100%
122,Cruise LLC,330,Layoff Permanent,330,100%
123,Crunchbase,63,Layoff Permanent,63,100%
124,Crystal Geyser Water Company,28,Layoff Permanent,28,100%
125,Cue Health,12,Layoff Permanent,12,100%
126,Cummins Meritor,16,Layoff Permanent,16,100%
127,Curio Employer,53,Layoff Temporary,53,100%
128,Cygnus Home Service,48,Closure Permanent,48,100%
129,D' Addario Woodwinds,33,Closure Permanent,6,18%
130,D' Addario Woodwinds,33,Layoff Permanent,27,82%
131,DHL Supply Chain,122,Closure Permanent,122,100%
132,DXS Logistics,80,Closure Permanent,80,100%
133,Dabico Airport Solutions,25,Closure Permanent,25,100%
134,Daifuku Services America Corporation,155,Layoff Permanent,155,100%
135,Dairy Farmers of America,68,Closure Permanent,68,100%
136,Daiso Distribution Center,74,Closure Permanent,74,100%
137,David's Bridal,271,Layoff Permanent,271,100%
138,DazPak Flexible Packaging,19,Closure Permanent,19,100%
139,DePuy Synthes Products,25,Layoff Permanent,25,100%
140,Del Friscos Grille,53,Closure Permanent,53,100%
141,Deliver-It,107,Closure Permanent,107,100%
142,Delta Dental Plan of California,137,Layoff Permanent,137,100%
143,Discord,160,Layoff Permanent,160,100%
144,Distribution Alternatives,40,Closure Permanent,40,100%
145,Divvy Homes,95,Layoff Permanent,95,100%
146,DreamWorks Animation,72,Layoff Permanent,72,100%
147,Dreyer's Grand Ice Cream,2336,Layoff Temporary,2336,100%
148,Dynaflex Prodcuts,14,Closure Permanent,14,100%
149,E. J. Lauren,69,Closure Permanent,69,100%
150,EchoPark Automotive Long Beach,32,Closure Permanent,32,100%
151,Eclipse Advantage,38,Closure Permanent,38,100%
152,El Dorado National (California),425,Layoff Permanent,425,100%
153,Elevance Health,87,Layoff Permanent,87,100%
154,Epic Games,97,Layoff Permanent,97,100%
155,Ericsson Inc.,170,Layoff Permanent,170,100%
156,"Exabeam, Inc.",94,Layoff Permanent,94,100%
157,Exelixis,143,Layoff Permanent,143,100%
158,Experian Information Solutions,70,Layoff Permanent,70,100%
159,FM Restaurants HQ,81,Closure Permanent,81,100%
160,FUJIFILM Irvine Scientific,57,Layoff Permanent,57,100%
161,FabFitFun Fulfillment Center,63,Layoff Permanent,63,100%
162,Faire Wholesale,70,Layoff Permanent,70,100%
163,Family YMCA,85,Layoffs Unknown,85,100%
164,"Farmers Group, Inc.",68,Layoff Permanent,68,100%
165,Farmers Insurance Exchange,2,Layoff Permanent,2,100%
166,Fashion Institute of Design & Merchandising,322,Layoff Permanent,322,100%
167,"FedEx Supply Chain, Inc.",39,Layoff Permanent,39,100%
168,Federal Express Corporation,405,Closure Permanent,405,100%
169,"FibroGen, Inc.",104,Layoff Permanent,104,100%
170,First Financial Credit Union,3,Closure Permanent,3,100%
171,"Fish Market Restaurants, Inc.",144,Closure Permanent,144,100%
172,Flex LTD,31,Layoff Permanent,31,100%
173,Flexport,233,Layoff Permanent,233,100%
174,ForgeRock,97,Layoff Permanent,97,100%
175,Foundation for California Community Colleges,298,Layoff Permanent,298,100%
176,Front Porch Communities and Services,185,Closure Permanent,185,100%
177,Full Steam Staffing,323,Layoff Permanent,323,100%
178,G&C Staffing,54,Layoff Permanent,54,100%
179,GAP,34,Layoff Permanent,34,100%
180,GE United Technologies,188,Closure Permanent,188,100%
181,"GXO Logistics Supply Chain, Inc.",61,Closure Permanent,61,100%
182,Gemological Institute of America,151,Layoff Permanent,151,100%
183,Genentech,436,Layoff Permanent,436,100%
184,Gibson Overseas,44,Closure Permanent,44,100%
185,Gilead Sciences,42,Layoff Permanent,42,100%
186,Gillette Citrus,93,Layoff Permanent,93,100%
187,Ginger.io,19,Layoff Permanent,19,100%
