,Company,Layoff Status_x,No. of Employees_x,No. of Employees_y,Layoff Status_y,No. of Employees
0,99 Cents Only Stores,Closure Permanent,1043,1043,Closure Permanent,1043
1,"A.C. Vroman, Inc.",Closure Permanent,12,12,Closure Permanent,12
2,ABM General Services,Layoff Permanent,25,25,Layoff Permanent,25
3,ACRT Pacific,Layoff Permanent,58,58,Layoff Permanent,58
4,ADT Solar,Closure Permanent,58,58,Closure Permanent,58
5,AHMC San Gabriel Valley Medical Center,Layoff Permanent,94,94,Layoff Permanent,94
6,AMP Printing,Closure Permanent,35,35,Closure Permanent,35
7,AMQ Solutions,Closure Permanent,37,37,Closure Permanent,37
8,ATI Restoration,Closure Permanent,18,18,Closure Permanent,18
9,AVMAC,Layoff Permanent,153,153,Layoff Permanent,153
10,Abbott,Closure Permanent,12,12,Closure Permanent,12
11,Accenture,Closure Permanent,240,327,Closure Permanent,240
12,Accenture,Closure Permanent,240,327,Layoff Permanent,87
13,Accenture,Layoff Permanent,87,327,Closure Permanent,240
14,Accenture,Layoff Permanent,87,327,Layoff Permanent,87
15,Accesso,Layoff Permanent,111,111,Layoff Permanent,111
16,Ace Hotel Group,Layoff Permanent,169,169,Layoff Permanent,169
17,Active Wellness,Layoff Permanent,80,80,Layoff Permanent,80
18,Activision Blizzard,Layoff Permanent,916,916,Layoff Permanent,916
19,Acutus Medical,Layoff Permanent,147,147,Layoff Permanent,147
20,Adidas America,Closure Permanent,28,28,Closure Permanent,28
21,Adventist Health,Layoff Permanent,53,53,Layoff Permanent,53
22,Age of Learning,Layoff Permanent,94,94,Layoff Permanent,94
23,Agilent Technologies,Layoff Permanent,36,36,Layoff Permanent,36
24,Airtable,Layoff Permanent,99,99,Layoff Permanent,99
25,Ajinomoto Foods North America,Layoff Temporary,538,538,Layoff Temporary,538
26,Alchemee,Closure Permanent,12,12,Closure Permanent,12
27,Allakos,Layoff Permanent,59,59,Layoff Permanent,59
28,Allen Brothers West Coast,Closure Permanent,53,53,Closure Permanent,53
29,Alsco,Closure Permanent,107,107,Closure Permanent,107
30,Alstom Mass Transit Corp.,Closure Permanent,41,41,Closure Permanent,41
31,Alto Operations California,Closure Permanent,34,34,Closure Permanent,34
32,Alvarado Hospital,Closure Permanent,6,814,Closure Permanent,6
33,Alvarado Hospital,Closure Permanent,6,814,Layoff Permanent,808
34,Alvarado Hospital,Layoff Permanent,808,814,Closure Permanent,6
35,Alvarado Hospital,Layoff Permanent,808,814,Layoff Permanent,808
36,Amazon,Closure Permanent,114,284,Closure Permanent,114
