,Correct Spelling,Company
0,99 Cents Only Stores,99 Cents Only Stores LLC
1,"A.C. Vroman, Inc.","A.C. Vroman, Inc. dba Vroman's Bookstore and Book Soup"
2,ABM General Services,"ABM General Services, Inc. at SNA 4 Amazon"
3,ACRT Pacific,ACRT Pacific
4,ADT Solar,ADT Solar
5,AHMC San Gabriel Valley Medical Center,AHMC San Gabriel Valley Medical Center LP dba San Gabriel Valley Medical Center
6,AMP Printing,AMP Printing - Mailing Address
7,AMQ Solutions,"AMQ Solutions, LLC"
8,ATI Restoration,"ATI Restoration, LLC"
9,AVMAC,AVMAC LLC
10,Abbott,Abbott Vascular
11,Accenture,Accenture
12,Accesso,Accesso
13,Ace Hotel Group,Ace Hotel Group LLC at Ace Hotel Los Angeles
14,Active Wellness,Active Wellness LLC
15,Activision Blizzard,Activision Blizzard
16,Acutus Medical,"Acutus Medical, Inc."
17,Adidas America,"Adidas America, Inc."
18,Adventist Health,Adventist Health Simi Valley
19,Age of Learning,"Age of Learning, Inc."
20,Agilent Technologies,"Agilent Technologies, Inc."
21,Ajinomoto Foods North America,"Ajinomoto Foods North America, Inc."
22,Alchemee,"Alchemee, LLC"
23,Allakos,Allakos Inc.
24,Alsco,Alsco Inc.
25,Alstom Mass Transit Corp.,Alstom Mass Transit Corp.
26,Alto Operations California,"Alto Operations California, LLC"
27,Alvarado Hospital,"Alvarado Hospital, LLC dba Alvarado Hospital Medical Center"
28,Amazon,Amazon
29,Amentum at NAS,Amentum at NAS North Island
30,Amgen,Amgen
31,Amware Fulfillment,Amware Fulfillment LLC
32,Amyris,"Amyris, Inc."
33,Analog Devices,"Analog Devices, Inc."
34,Anaplan,"Anaplan, Inc."
35,Anchor Brewing Company,"Anchor Brewing Company, LLC"
36,AppFolio,"AppFolio, Inc."
37,Apple,Apple Inc.
38,Arden Hills Country Club,"Arden Hills Country Club, Inc"
39,Astra Space Operations,"Astra Space Operations, LLC"
40,Atara Biotherapeutics,Atara Biotherapeutics
41,Aura Management,Aura Management Co.
42,Aurora Solar Inc.,Aurora Solar Inc.
43,B. Braun Medical Inc.,B. Braun Medical Inc.
44,BILL Operations,"BILL Operations, LLC"
45,BMO Bank,BMO Bank N.A. successor in interest to Bank of the West
46,Balfour Beatty US Civils,Balfour Beatty US Civils
47,Bamboo Group Operations,Bamboo Group Operations LLC dba Bamboo Sushi
48,Bandier West Hollywood,Bandier West Hollywood LLC
49,Bank of the West,Bank of the West
50,Baxalta US,"Baxalta US, Inc. dba Takeda"
51,Bay Area PL Services,Bay Area PL Services dba BayPLS
52,Beauty & Essex,Beauty & Essex
53,Bechtel Infrastructure & Power Corporation,Bechtel Infrastructure & Power Corporation
54,"Becton, Dickinson and Company","Becton, Dickinson, and Company - Pacific"
55,"Berry Global, Inc.","Berry Global, Inc."
56,Beyond Hello CA,"Beyond Hello CA, LLC"
57,Bionano Genomics,"Bionano Genomics, Inc."
58,BlackLine Systems,"BlackLine Systems, Inc."
59,"Block, Inc.","Block, Inc."
60,Bloom Energy Corporation,Bloom Energy Corporation
61,Blowfish,Blowfish
62,Blue Shield of California,Blue Shield of California
63,Boardriders Wholesale,"Boardriders Wholesale, LLC"
64,Boeing Company,Boeing Company
65,Boston Scientific Corporation,Boston Scientific Corporation
66,Bridge Staffing,"Bridge Staffing, LLC"
67,BrightDrop,BrightDrop
68,Bristol Farms Newfound Market,Bristol Farms Newfound Market Irvine Grocery Store
69,Bristol Myers Squibb,Bristol Myers Squibb
70,Broadcom,Broadcom Inc.
71,Brookfield Properties,Brookfield Properties (USA II) LLC
72,Burke Williams,Burke Williams
73,BuzzFeed Media Enterprises,"BuzzFeed Media Enterprises, Inc."
74,C&E GP Specialists,"C&E GP Specialists, Inc."
75,CSL Vifor,CSL Vifor
76,Cacique Foods,"Cacique Foods, LLC"
77,Pizza Hut,Pacpizza dba Pizza Hut
78,California Institute of Technology,California Institute of Technology
79,California Resources Corporation,California Resources Corporation
80,CamelBak Products,"CamelBak Products, LLC"
81,Capital One Financial,Capital One Financial
82,Carbon Health,Carbon Health Medical Group
83,"Carbon, Inc.","Carbon, Inc."
84,Cardinal Glass Industries,"Cardinal Glass Industries, Inc."
85,"Catalent, Inc.","Catalent, Inc."
86,Centerra Group,"Centerra Group, LLC"
87,Central Admixture Pharmacy Services,"Central Admixture Pharmacy Services, Inc."
88,Cepheid,Cepheid
89,Certified Freight Logistics,"Certified Freight Logistics, Inc."
90,ChargePoint,"ChargePoint, Inc."
91,Charles River Laboratories,"Charles River Laboratories, Inc."
92,Charles Schwab & Co.,"Charles Schwab & Co., Inc."
93,Chart Inc.,Chart Inc.
94,Checkr,"Checkr, Inc."
95,Chick-fil-A,Chick-fil-A
96,Circle C Ranch,"Circle C Ranch, Inc."
97,Cisco Systems,"Cisco Systems, Inc."
98,City National Bank,City National Bank
99,Clari,Clari Inc.
100,Codexis,"Codexis, Inc."
101,Coherent Corp.,Coherent Corp.
102,Cole Haan,Cole Haan
103,Collins Pine Company,Collins Pine Company
104,Command Security Service,Command Security Service LP at Google/Bayview
105,Company 3 Method,Company 3/Method Inc
106,Comprehensive Autism Center,Comprehensive Autism Center
107,Container Connection,Container Connection
108,ContextLogic Inc.,ContextLogic Inc.
109,Coronado Brewing Company,"Coronado Brewing Company, Inc."
110,Corteva Agriscience,Corteva Agriscience LLC
111,Cotton On La Mirada Distribution Center,Cotton On La Mirada Distribution Center
112,Country Club Mortgage,Country Club Mortgage - Hall
113,Covanta Long Beach Renewable Energy Corp.,Covanta Long Beach Renewable Energy Corp.
114,Covanta Projects,"Covanta Projects, LLC"
115,Covenant Living Communities & Services,Covenant Living Communities & Services (Covenant Living West) dba Brandel Manor and Cypress Assisted
116,Cracker Barrel,Cracker Barrel
117,Cruise LLC,Cruise LLC - Headquarters
118,Crunchbase,Crunchbase
119,Crystal Geyser Water Company,Crystal Geyser Water Company
120,Cue Health,"Cue Health, Waples"
121,Cummins Meritor,Cummins Meritor
122,Curio Employer,"Curio Employer LLC dba The Hotel del Coronado, Curio Collection by Hilton"
