,"Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees"
,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
County/Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda ,76,2023-10-08 04:06:18.947368448,2023-06-07 00:00:00,2023-08-06 06:00:00,2023-09-29 00:00:00,2023-11-29 06:00:00,2024-04-18 00:00:00,,76,2023-11-12 14:12:37.894736896,2023-07-13 00:00:00,2023-09-21 00:00:00,2023-11-01 00:00:00,2024-01-11 00:00:00,2024-04-18 00:00:00,,76,2023-12-02 18:18:56.842105344,2023-06-30 00:00:00,2023-09-26 12:00:00,2023-11-10 00:00:00,2024-02-02 00:00:00,2024-06-27 00:00:00,,76.0,48.10526315789474,1.0,5.75,36.5,72.75,218.0,49.097339764286865
Butte ,9,2023-12-02 16:00:00,2023-04-25 00:00:00,2023-10-09 00:00:00,2023-12-14 00:00:00,2024-04-11 00:00:00,2024-04-11 00:00:00,,9,2024-01-02 21:20:00,2023-07-05 00:00:00,2023-12-01 00:00:00,2024-01-24 00:00:00,2024-04-16 00:00:00,2024-04-16 00:00:00,,9,2024-01-21 10:40:00,2023-08-11 00:00:00,2023-10-20 00:00:00,2024-02-23 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,,9.0,27.88888888888889,2.0,7.0,18.0,26.0,127.0,38.66343377289595
Contra Costa ,30,2023-11-29 12:48:00,2023-04-25 00:00:00,2023-08-11 06:00:00,2023-11-04 12:00:00,2024-04-14 12:00:00,2024-04-18 00:00:00,,30,2023-12-27 13:36:00,2023-07-03 00:00:00,2023-10-16 00:00:00,2023-12-12 00:00:00,2024-04-17 12:00:00,2024-04-18 00:00:00,,30,2024-02-11 02:24:00,2023-09-02 00:00:00,2023-10-17 06:00:00,2024-01-09 00:00:00,2024-06-08 12:00:00,2024-07-31 00:00:00,,30.0,60.46666666666667,1.0,11.5,23.0,53.5,474.0,97.19469736257373
El Dorado ,3,2023-12-02 16:00:00,2023-11-27 00:00:00,2023-11-27 00:00:00,2023-11-27 00:00:00,2023-12-05 12:00:00,2023-12-14 00:00:00,,3,2024-01-06 16:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2024-01-11 00:00:00,2024-01-24 00:00:00,,3,2024-02-08 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-02-12 00:00:00,2024-02-24 00:00:00,,3.0,16.666666666666668,3.0,9.5,16.0,23.5,31.0,14.0118997046558
Fresno ,19,2023-10-09 01:15:47.368421120,2023-04-25 00:00:00,2023-08-01 12:00:00,2023-12-08 00:00:00,2023-12-14 00:00:00,2024-03-28 00:00:00,,19,2023-11-21 21:28:25.263158016,2023-07-03 00:00:00,2023-09-27 00:00:00,2024-01-17 00:00:00,2024-01-24 00:00:00,2024-04-02 00:00:00,,19,2023-12-07 06:18:56.842105344,2023-05-31 00:00:00,2023-09-30 00:00:00,2024-02-06 00:00:00,2024-02-16 00:00:00,2024-05-31 00:00:00,,19.0,23.57894736842105,1.0,5.0,11.0,31.0,96.0,26.85209652372228
Glenn ,3,2023-09-25 00:00:00,2023-07-21 00:00:00,2023-07-26 12:00:00,2023-08-01 00:00:00,2023-10-28 00:00:00,2024-01-24 00:00:00,,3,2023-10-20 00:00:00,2023-08-15 00:00:00,2023-08-28 12:00:00,2023-09-11 00:00:00,2023-11-22 00:00:00,2024-02-02 00:00:00,,3,2023-11-07 16:00:00,2023-07-30 00:00:00,2023-08-27 12:00:00,2023-09-25 00:00:00,2023-12-28 00:00:00,2024-03-31 00:00:00,,3.0,37.333333333333336,2.0,28.0,54.0,55.0,56.0,30.615900008546756
Humboldt ,2,2023-08-05 12:00:00,2023-08-01 00:00:00,2023-08-03 06:00:00,2023-08-05 12:00:00,2023-08-07 18:00:00,2023-08-10 00:00:00,,2,2023-09-28 00:00:00,2023-08-18 00:00:00,2023-09-07 12:00:00,2023-09-28 00:00:00,2023-10-18 12:00:00,2023-11-08 00:00:00,,2,2023-08-30 00:00:00,2023-07-30 00:00:00,2023-08-14 12:00:00,2023-08-30 00:00:00,2023-09-14 12:00:00,2023-09-30 00:00:00,,2.0,5.0,4.0,4.5,5.0,5.5,6.0,1.4142135623730951
Imperial ,2,2023-08-05 12:00:00,2023-08-01 00:00:00,2023-08-03 06:00:00,2023-08-05 12:00:00,2023-08-07 18:00:00,2023-08-10 00:00:00,,2,2023-10-01 12:00:00,2023-08-18 00:00:00,2023-09-09 06:00:00,2023-10-01 12:00:00,2023-10-23 18:00:00,2023-11-15 00:00:00,,2,2023-08-30 00:00:00,2023-07-30 00:00:00,2023-08-14 12:00:00,2023-08-30 00:00:00,2023-09-14 12:00:00,2023-09-30 00:00:00,,2.0,12.5,10.0,11.25,12.5,13.75,15.0,3.5355339059327378
Kern ,33,2023-10-23 06:32:43.636363520,2023-04-25 00:00:00,2023-08-28 00:00:00,2023-11-08 00:00:00,2023-12-14 00:00:00,2024-02-26 00:00:00,,33,2023-11-28 18:54:32.727272704,2023-07-05 00:00:00,2023-10-04 00:00:00,2023-12-18 00:00:00,2024-01-24 00:00:00,2024-02-28 00:00:00,,33,2023-12-08 19:38:10.909090816,2023-07-30 00:00:00,2023-08-28 00:00:00,2024-01-08 00:00:00,2024-02-16 00:00:00,2024-04-26 00:00:00,,33.0,78.3030303030303,1.0,2.0,7.0,27.0,1015.0,242.798203871096
Kings ,4,2023-10-21 06:00:00,2023-05-19 00:00:00,2023-10-18 06:00:00,2023-12-11 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,,4,2023-12-07 12:00:00,2023-07-25 00:00:00,2023-12-04 00:00:00,2024-01-20 12:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,,4,2023-12-25 18:00:00,2023-07-30 00:00:00,2023-12-20 06:00:00,2024-02-11 12:00:00,2024-02-17 00:00:00,2024-02-17 00:00:00,,4.0,11.0,3.0,3.75,4.5,11.75,32.0,14.023789311975086
Los Angeles ,296,2023-11-15 05:40:32.432432384,2023-04-25 00:00:00,2023-08-28 00:00:00,2023-11-07 00:00:00,2024-01-26 00:00:00,2024-04-16 00:00:00,,296,2023-12-15 05:16:12.972973056,2023-07-03 00:00:00,2023-10-16 00:00:00,2023-12-28 00:00:00,2024-02-12 06:00:00,2024-04-18 00:00:00,,296,2024-01-12 13:47:01.621621504,2023-06-30 00:00:00,2023-10-29 06:00:00,2024-01-15 12:00:00,2024-04-01 00:00:00,2024-06-30 00:00:00,,296.0,53.983108108108105,1.0,3.0,21.0,72.0,731.0,85.84706376903374
